,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,value of product
6236,lynchburg,5500,2005.0,chevrolet,equinox lt awd,good,6 cylinders,gas,134717.0,clean,automatic,4wd,SUV,silver,2
6237,lynchburg,8950,2008.0,bmw,7-series,excellent,8 cylinders,gas,118553.0,clean,automatic,rwd,sedan,black,1
6238,lynchburg,3250,2002.0,honda,civic,excellent,4 cylinders,gas,148530.0,clean,automatic,fwd,coupe,red,3
6239,lynchburg,34500,2012.0,chevrolet,corvette,excellent,6 cylinders,gas,99185.07784431137,clean,manual,4wd,SUV,white,2
6240,lynchburg,7999,2007.0,lexus,is,excellent,6 cylinders,gas,189537.0,clean,automatic,fwd,sedan,blue,3
6241,lynchburg,6999,2012.0,ford,focus,excellent,6 cylinders,gas,128112.0,clean,automatic,4wd,sedan,silver,2
6242,lynchburg,4995,2004.0,cadillac,srx luxury,good,8 cylinders,gas,141594.0,clean,automatic,rwd,SUV,red,2
6243,lynchburg,9995,2008.0,chevrolet,suburban 1500 ltz,excellent,8 cylinders,gas,182998.0,clean,automatic,4wd,SUV,black,1
6244,lynchburg,11150,2008.0,toyota,highlander limited awd,excellent,6 cylinders,gas,147000.0,clean,automatic,4wd,SUV,red,2
6245,lynchburg,6742,2007.0,honda,accord,excellent,4 cylinders,gas,112335.0,clean,automatic,fwd,sedan,blue,3
6246,lynchburg,3800,2006.0,chrysler,pt cruiser,excellent,4 cylinders,gas,95000.0,clean,automatic,fwd,SUV,white,3
6247,lynchburg,5000,2007.0,lexus,gs 350,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6248,lynchburg,6995,2015.0,nissan,rogue,excellent,4 cylinders,gas,110572.0,clean,automatic,fwd,SUV,silver,3
6249,lynchburg,10985,2003.0,chevrolet,corvette,excellent,8 cylinders,gas,149392.0,clean,automatic,rwd,coupe,white,2
6250,lynchburg,13999,2007.0,chevrolet,silverado z71,excellent,6 cylinders,gas,81000.0,clean,automatic,4wd,SUV,white,2
6251,lynchburg,24999,2013.0,chevrolet,silverado,excellent,8 cylinders,gas,110000.0,clean,automatic,4wd,SUV,white,2
6252,lynchburg,20000,2003.0,ford,f250,excellent,8 cylinders,diesel,64000.0,clean,manual,4wd,pickup,silver,2
6253,lynchburg,4800,2011.0,ford,suzuki sx4 crossover,good,4 cylinders,gas,120459.0,clean,automatic,4wd,sedan,black,1
6254,lynchburg,1950,2004.0,toyota,camry solara,excellent,4 cylinders,gas,222700.0,clean,automatic,fwd,coupe,silver,3
6255,lynchburg,13550,2010.0,mercedes-benz,cls-class,excellent,8 cylinders,gas,79714.0,clean,automatic,4wd,coupe,black,1
6256,lynchburg,3800,2004.0,honda,accord,good,6 cylinders,gas,130000.0,clean,automatic,fwd,sedan,white,3
6257,lynchburg,4500,1996.0,ford,f150,good,6 cylinders,gas,163916.0,clean,manual,4wd,truck,white,2
6258,lynchburg,11500,2011.0,honda,cr-v,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,green,1
