,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
238,st george,7995,2009.0,subaru,outback,,4 cylinders,gas,134561.0,clean,automatic,,wagon,white
239,st george,36455,2019.0,toyota,4runner,,6 cylinders,gas,13624.0,clean,automatic,4wd,SUV,custom
240,st george,32475,2015.0,toyota,tundra crewmax,,8 cylinders,other,61774.0,clean,automatic,4wd,pickup,red
241,st george,36795,2019.0,toyota,highlander,,6 cylinders,gas,12621.0,clean,automatic,,SUV,silver
242,st george,10595,2016.0,hyundai,elantra,,4 cylinders,gas,59645.0,clean,automatic,fwd,sedan,white
243,st george,10295,2013.0,toyota,camry,,4 cylinders,hybrid,154852.0,clean,automatic,fwd,sedan,white
244,st george,23995,2015.0,jeep,wrangler,,6 cylinders,gas,64438.0,clean,automatic,4wd,SUV,silver
245,st george,13795,2017.0,nissan,altima,,4 cylinders,gas,64377.0,clean,automatic,fwd,sedan,silver
246,st george,20945,2017.0,nissan,maxima,,6 cylinders,gas,31034.0,clean,automatic,fwd,sedan,silver
247,st george,22795,2016.0,lexus,is,,4 cylinders,gas,27737.0,clean,automatic,rwd,sedan,silver
